"Cities, provincies",2016,2017,2018,2019,2020,2021,2022,2023
Red River Delta,33453,38075,38873,41842,39723,37913,45472,49377
Ha Noi,22663,24545,25231,27711,26135,24026,29720,31512
Vinh Phuc,857,1250,1145,1194,1249,1214,1377,1523
Bac Ninh,1660,2046,2041,2405,2390,2368,2700,3473
Quang Ninh,1254,1593,1654,1605,1456,1455,1643,1689
Hai Duong,1213,1509,1549,1695,1600,1425,1579,1884
Hai Phong,2568,2979,3145,2943,2867,3034,3294,3523
Hung Yen,903,1311,1185,1194,1153,1331,1364,1594
Thai Binh,631,776,825,890,714,847,1130,1245
Ha Nam,481,628,596,684,682,666,796,771
Nam Dinh,675,799,818,796,794,906,1088,1283
Ninh Binh,548,639,684,725,683,641,781,880
Northern midlands and mountain areas,4193,5300,5271,5382,5532,6127,6932,7880
Ha Giang,112,174,149,173,151,126,183,237
Cao Bang,114,150,127,167,167,138,174,125
Bac Kan,92,66,79,66,64,107,116,122
Tuyen Quang,131,200,202,211,235,256,297,267
Lao Cai,394,399,389,421,525,604,655,689
Yen Bai,206,218,252,251,274,342,321,339
Thai  Nguyen,631,758,740,752,732,891,955,1094
Lang Son,288,355,386,387,409,493,463,726
Bac Giang,869,1297,1209,1356,1332,1399,1706,2308
Phu Tho,597,680,784,723,717,793,1008,1026
Dien Bien,87,121,131,97,132,129,113,137
Lai Chau,153,188,157,144,131,128,194,138
Son La,232,320,283,269,302,266,257,277
Hoa Binh,287,374,383,365,361,455,490,395
Northern Central area and Central coastal area,14825,17556,18820,19255,18626,16842,20080,18690
Thanh Hoa,1453,3065,3398,3249,3492,3676,3852,3670
Nghe An,1547,1794,1903,1779,1846,1955,2143,2062
Ha Tinh,734,741,761,810,758,889,895,868
Quang Binh,564,576,659,604,631,623,706,571
Quang Tri,282,307,366,381,474,448,492,484
Thua Thien-Hue,672,640,680,736,687,610,835,675
Da Nang,3898,4022,4474,4742,3752,3294,4000,3758
Quang  Nam,1081,1221,1339,1476,1276,1143,1245,1145
Quang  Ngai,638,716,776,862,708,595,735,721
Binh Dinh,787,947,901,888,1061,969,1238,1090
Phu Yen,337,408,491,459,519,394,561,502
Khanh  Hoa,1880,1990,1924,1900,1825,1219,1982,1913
Ninh  Thuan,374,426,434,531,656,383,510,443
Binh Thuan,578,703,714,838,941,644,886,788
Central Highlands,2631,3236,3219,3599,4849,3787,4470,3986
Kon Tum,216,237,256,286,370,302,336,291
Gia Lai,478,593,560,645,1089,805,897,760
Dak Lak,729,929,1008,1173,1562,1054,1249,1228
Dak Nong,285,361,386,362,505,388,465,381
Lam Dong,923,1116,1009,1133,1323,1238,1523,1326
South East,47108,53698,55821,58673,55850,43857,60043,67980
Binh Phuoc,726,896,944,1066,1257,1058,1172,1065
Tay Ninh,580,606,559,669,736,676,816,831
Binh  Duong,4820,5549,5923,6612,6557,5293,6494,6792
Dong Nai,3172,3360,3549,3817,3926,3086,4203,4061
Ba Ria - Vung Tau,1368,1601,1616,1740,1951,1400,1933,1931
Ho Chi Minh city,36442,41686,43230,44769,41423,32344,45425,53300
Mekong River Delta,7890,8994,9271,9388,10360,8313,11536,11381
Long An,1354,1497,1578,1713,1638,1419,1763,1994
Tien Giang,562,615,628,655,750,576,935,889
Ben Tre,387,535,550,507,524,418,566,591
Tra Vinh,260,363,351,382,491,370,519,550
Vinh Long,286,310,347,360,393,329,438,455
Dong Thap,464,525,576,523,605,482,738,676
An Giang,619,778,724,720,858,604,879,931
Kien  Giang,1208,1442,1536,1447,1479,1304,1892,1566
Can Tho,1257,1366,1398,1483,1564,1283,1807,1706
Hau Giang,404,376,364,366,529,350,562,622
Soc Trang,332,372,370,349,514,368,450,394
Bac Lieu,242,277,323,384,421,336,329,390
Ca Mau,515,538,526,499,594,474,658,617
